id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
420120154854,2015-4854,2/20/2015 10:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,26XX LABIEUX RD,27894,Diver Lake,13,49.202409,-124.018516
420120155866,2015-5866,3/14/2015 11:45:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,29XX 103RD ST,27895,Rutherford,12,49.208851,-124.014598
420120156040,2015-6040,3/6/2015 10:00:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,2XX KING RD,27896,Westwood,18,49.167807,-123.98274
420120156817,2015-6817,3/5/2015 4:45:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,30XX BARONS RD,27897,Rutherford,12,49.207869,-124.004205
420120155048,2015-5048,2/27/2015 9:01:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,31XX SMUGGLERS HILL DR,27898,Linley Valley,14,49.210572,-123.982329
420120156574,2015-6574,3/4/2015 5:58:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,32XX  ROSS RD,27899,Rutherford,12,49.211564,-124.003659
4201201511886,2015-11886,5/6/2015 12:27:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,37XX WELLESLEY AVE,27902,Rutherford,12,49.207242,-124.010974
4201201515663,2015-15663,6/9/2015 4:10:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,3XX WALLACE ST,27907,Downtown,2,49.165238,-123.939134
4201201510105,2015-10105,4/18/2015 9:43:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,3XX WALLACE ST,27907,Downtown,2,49.165238,-123.939134
4201201515862,2015-15862,6/11/2015 5:05:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX CHESTNUT ST,27910,Newcastle/brechin,16,49.187442,-123.951487
4201201518979,2015-18979,7/6/2015 1:29:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX DUKE POINT HWY,27911,Duke Pt,9,49.134176,-123.870244
4201201513388,2015-13388,5/20/2015 3:39:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX JUNIPER ST,27914,Newcastle/brechin,16,49.182623,-123.951704
4201201518738,2015-18738,7/4/2015 10:37:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,4XX VICTORIA RD,27916,South End,6,49.154505,-123.936071
420120156277,2015-6277,3/8/2015 4:53:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,5XX ROSEHILL ST,27918,Townsite,17,49.175969,-123.952254
420120155213,2015-5213,2/21/2015 11:53:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,61XX MCGIRR RD,27919,Dover,11,49.239922,-124.031876
420120156333,2015-6333,3/9/2015 11:42:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,65XX AULDS RD,27922,Pleasant Valley,20,49.234342,-124.045421
420120156584,2015-6584,3/12/2015 2:07:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX FOSTER ST,27923,University District,19,49.160842,-123.960324
420120154929,2015-4929,2/21/2015 11:53:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,8XX ISLAND HWY S,27927,South End,6,49.14632,-123.932366
420120156026,2015-6026,3/6/2015 3:34:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,8XX PARK AVE,27929,Harewood,10,49.145158,-123.943881
420120156078,2015-6078,3/6/2015 6:06:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,BRUCE AVE / 6TH ST,27933,Harewood,10,49.151321,-123.949607
420120156725,2015-6725,3/13/2015 4:55:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,EAST WELLINGTON RD / WESTWOOD RD,27934,Westwood,18,49.179841,-123.987402
420120155216,2015-5216,2/25/2015 10:24:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,JINGLE POT RD / CALDER RD,27937,Westwood,18,49.169028,-123.98602
420120156167,2015-6167,3/7/2015 3:27:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,NANAIMO PKWY / JINGLE POT RD OFRP,27940,Pleasant Valley,20,49.206161,-124.036197
420120156843,2015-6843,3/14/2015 4:22:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,TERMINAL AVE / COMMERCIAL ST,27942,Downtown,2,49.16442,-123.93667
420120154780,2015-4780,2/20/2015 3:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,TERMINAL AVE N / ROSEHILL ST,27943,Newcastle/brechin,16,49.176158,-123.94684
420120154912,2015-4912,2/21/2015 8:22:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,TOWNSITE RD / WADDINGTON RD,27944,Townsite,17,49.178901,-123.964675
4201201512843,2015-12843,5/14/2015 9:00:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,X LEAM RD,27946,Diver Lake,13,49.197897,-123.998643
420120154845,2015-4845,3/21/2015 3:39:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX GILLESPIE ST,27947,South End,6,49.152048,-123.931342
420120154973,2015-4973,2/20/2015 8:00:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX IRWIN ST,27948,South End,6,49.160898,-123.931468
4201201517443,2015-17443,6/23/2015 6:47:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,15XX BUSH ST,27951,Northfield,5,49.179331,-123.969916
420120158719,2015-8719,4/3/2015 9:02:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,17XX STEWART AVE,27953,Newcastle/brechin,16,49.187485,-123.950352
420120157160,2015-7160,3/18/2015 9:08:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,21XX MOUNTAIN VISTA DR,27957,Diver Lake,13,49.193087,-124.002484
